NO,TANGGAL,WAKTU,LINTANG,BUJUR,KM,Mag,TypeMag,smaj,smin,az,rms,cPhase,Region
63,1/3/18,01:15:09 UTC,7.47 LS,106.66 BT,36,2.8,MLv,3.15,0.478,113,0.409,7,"Java, Indonesia"
64,1/3/18,01:38:34 UTC,2.36 LU,127.24 BT,16,3.8,MLv,6.574,1.581,147,0.202,12,Northern Molucca Sea
65,1/3/18,01:58:40 UTC,9.96 LS,116.59 BT,10,3.6,MLv,11.938,1.249,168,0.839,12,"Sumbawa Region, Indonesia"
66,1/3/18,02:36:08 UTC,0.72 LS,131.45 BT,14,2.8,MLv,3.949,0.237,224,0.008,6,"Irian Jaya Region, Indonesia"
67,1/3/18,02:48:00 UTC,3.22 LS,128.16 BT,14,3.2,MLv,3.857,0.25,134,0.004,5,"Seram, Indonesia"
68,1/3/18,03:31:32 UTC,8.88 LS,124 BT,12,2.6,MLv,2.282,0.882,110,0.286,7,"Flores Region, Indonesia"
69,1/3/18,03:37:10 UTC,1.45 LU,124.61 BT,29,3.6,MLv,7.42,0.344,140,0.664,9,"Minahassa Peninsula, Sulawesi"
70,1/3/18,03:45:44 UTC,0.34 LU,121.88 BT,188,2.5,MLv,4.827,0.153,79,0.247,9,"Minahassa Peninsula, Sulawesi"
71,1/3/18,03:49:07 UTC,7.36 LS,106.84 BT,110,3.3,MLv,4.9,0.292,119,0.474,14,"Java, Indonesia"
72,1/3/18,03:52:39 UTC,8.22 LS,110.61 BT,26,3.2,MLv,4.167,0.317,187,0.165,9,"Java, Indonesia"
73,1/3/18,04:22:24 UTC,7.9 LS,119.27 BT,139,3.4,MLv,7.143,1.12,90,0.607,8,Flores Sea
74,1/3/18,04:25:52 UTC,9.39 LS,118.64 BT,19,2.6,MLv,3.083,0.941,177,0.187,6,"Sumbawa Region, Indonesia"
75,1/3/18,05:16:19 UTC,8.89 LS,116.87 BT,10,3.6,MLv,4.793,0.152,162,0.36,10,"Sumbawa Region, Indonesia"
76,1/3/18,06:14:09 UTC,8.88 LS,116.89 BT,10,2.3,MLv,1.725,0.145,186,0.116,4,"Sumbawa Region, Indonesia"
77,1/3/18,06:42:46 UTC,19.88 LS,177.98 BB,598,5.3,mb,90.051,7.638,136,0.681,127,Fiji Islands Region
78,1/3/18,09:39:19 UTC,4.49 LU,127 BT,10,4.5,mb,20.116,0.583,195,1.031,21,"Talaud Islands, Indonesia"
79,1/3/18,10:23:31 UTC,1.15 LU,121.77 BT,13,1.9,MLv,1.167,0.617,197,0.408,8,"Minahassa Peninsula, Sulawesi"
80,1/3/18,10:36:12 UTC,9.37 LS,115.32 BT,33,2.7,MLv,2.48,0.572,230,0.471,7,"South of Bali, Indonesia"
81,1/3/18,10:56:32 UTC,8.73 LS,110.27 BT,27,3.2,MLv,3.413,0.856,238,0.662,10,"Java, Indonesia"
82,1/3/18,11:13:00 UTC,7.84 LS,118.97 BT,22,3.4,MLv,4.808,0.924,93,0.522,13,Flores Sea
83,1/3/18,11:44:29 UTC,0.26 LU,122.48 BT,10,2.1,MLv,1.896,0.58,129,0.316,7,"Minahassa Peninsula, Sulawesi"
84,1/3/18,11:46:20 UTC,22.06 LS,179.49 BB,594,5,Mw(mB),89.474,9.434,111,0.922,101,South of Fiji Islands
85,1/3/18,12:21:33 UTC,11.95 LU,143.95 BT,41,4.9,mb,93.661,1.853,134,1.455,35,South of Mariana Islands
86,1/3/18,13:12:48 UTC,3.93 LU,126.64 BT,10,3.9,MLv,6.492,0.08,121,0.903,13,"Talaud Islands, Indonesia"
87,1/3/18,13:38:39 UTC,13.43 LU,88.74 BB,77,5.4,mb,150.957,32.22,235,1.082,38,El Salvador
88,1/3/18,14:12:44 UTC,11.31 LS,117.97 BT,10,3.2,MLv,11.355,2.475,173,1.838,11,"South of Sumbawa, Indonesia"
89,1/3/18,14:46:15 UTC,5.69 LS,103.45 BT,41,4.2,Mw,55.525,0.901,130,1.173,76,"Southern Sumatra, Indonesia"
90,1/3/18,14:59:12 UTC,2.39 LS,121.06 BT,10,2.9,MLv,3.618,0.227,146,1.416,13,"Sulawesi, Indonesia"
91,1/3/18,15:40:55 UTC,5.93 LS,104.67 BT,41,3.2,MLv,3.332,0.435,159,0.506,8,"Southern Sumatra, Indonesia"
92,1/3/18,16:04:57 UTC,25.21 LU,125.52 BT,121,4.1,MLv,6.525,0.439,301,0.483,6,"Southwestern Ryukyu Islands, Japan"
93,1/3/18,16:28:31 UTC,6.35 LS,128.11 BT,255,3.5,mb,11.923,2.546,111,0.917,13,Banda Sea
94,1/3/18,17:41:02 UTC,10.36 LS,109.91 BT,21,4.4,mb,20.938,2.505,106,1.231,40,"South of Java, Indonesia"
95,1/3/18,18:40:33 UTC,0.38 LU,121.74 BT,90,2.4,MLv,3.018,0.221,125,0.634,10,"Minahassa Peninsula, Sulawesi"
96,1/3/18,21:15:12 UTC,0.1 LS,124.58 BT,23,4.1,MLv,8.181,0.894,87,1.037,23,Southern Molucca Sea
97,1/3/18,21:30:22 UTC,29.93 LU,141.17 BT,41,5.3,mb,67.268,2.959,208,1.827,70,"Southeast of Honshu, Japan"
98,1/3/18,22:41:43 UTC,3.73 LU,126.7 BT,29,4.3,MLv,8.517,0.275,140,0.958,23,"Talaud Islands, Indonesia"
99,1/3/18,23:33:26 UTC,3.45 LS,135.46 BT,83,4.5,MLv,16.976,1.033,174,0.933,13,"Irian Jaya Region, Indonesia"
100,1/4/18,00:15:03 UTC,5.44 LU,128.65 BT,122,4.3,mb,8.954,2.433,278,0.632,7,East of Philippine Islands
